JANUARY 1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',Barge Salt Dory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,S/V Far Horizon,,,,,M/V Deep Reef,,,,,,,,,,,,,,,Barge Western Cove,S/V Far Horizon,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUGUST 1998,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
North Pier West - 410',OSV Wild Star,,,R/V Clear Sextant,,,,S/V Grey Reef,,,,,,,,,,,,,OSV Wild Star,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,OSV Western Tern,,,,,,,,,,R/V Iron Harbor,,,,,,,,,,R/V Clear Sextant,,,OSV Western Tern,,,Barge Salt Dory,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',M/V Deep Reef,,,M/V Deep Reef,,,,,,,M/V Blue Tern,,,,,,,,,,M/V Bright Drift,,,,,,,,,,
South Float East - 90',,R/V Wild Dory,S/V Far Horizon,,,,,,,,,,,,S/V Far Horizon,,,,,,,,,S/V Far Horizon,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTEMBER 1998,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
North Pier West - 410',,,,,,,R/V Quiet Tern,,R/V Clear Sextant,,,,,,,OSV Wild Star,,,,,,,,,OSV Wild Star,,,,,,
North Pier West - 410',,,,,,,,,,,,,,Barge Salt Dory,,,,,,,,,,Tug Blue Fathom,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,F/V Long Heron,,,,,,,,,
North Pier East - 240',Barge Salt Dory,,,,,F/V Long Heron,,,,,R/V Clear Sextant,,,,,,,,Barge Salt Dory,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,OSV Blue Osprey,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTOBER 1998,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
North Pier West - 410',,,,,,,,Tug Blue Fathom,,OSV Wild Star,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,F/V Long Heron,,,,,,,,,,,,,,,,
North Pier East - 240',,,,Barge Salt Dory,,,,,,,,Barge Salt Dory,,,,,,,,,,,Barge Salt Dory,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,S/V Far Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVEMBER 1998,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
North Pier West - 410',R/V Clear Sextant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,Barge Salt Dory,,,,,,,,,,,,,,,S/V Quiet Drift,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECEMBER 1998,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
North Pier West - 410',R/V Clear Sextant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,S/V Quiet Drift,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,Barge Salt Dory,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
