Harborview Marine Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010 Pier & Dock Schedule (synthetic sample data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contact: Dock Coordinator, Marine Operations - dockops@example.org or ext 0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JANUARY 2010,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,Barge SILVER VOYAGER,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCH 2010,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,
,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,,,
North Pier West - 410',,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,Barge Silver Voyager,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APRIL 2010,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,
,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,,,,
North Pier West - 410',R/V GOLDEN COMPASS,,,,,Arrival 1400,,,,,,,,,M/V NORTHERN HARBOR,,,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,M/V GREY COMPASS,,M/V GREY COMPASS,Delayed due to weather,M/V GREY COMPASS,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,Holiday,,,,,,,,S/V Iron Petrel,,,,,R/V Grey Kestrel,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,R/V Long Ketch,R/V Long Ketch,,R/V Long Ketch,,,,,,,,,,,
South Float East - 90',,,,,,Tug Long Kestrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Utility work on pier face,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAY 2010,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,
,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,,,
North Pier West - 410',R/V GOLDEN COMPASS,R/V GOLDEN COMPASS,,,,,,,,,,,,,,,,,,,,,,M/V GREY COMPASS,,,,,,M/V GREY COMPASS,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,S/V Iron Petrel,,,,,M/V GREY COMPASS,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',R/V Long Ketch,,,,,,,R/V Long Ketch,,,,,,,R/V Long Ketch,,,,,,,,R/V Long Ketch,,,,,,,R/V Long Ketch,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNE 2010,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,
,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,,,,
North Pier West - 410',,,,,,,,,,,,,,,,S/V Iron Petrel,,,R/V Blue Voyager,,,,,,,,,R/V Blue Voyager,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,M/V GREY COMPASS,,,,,,,,,,,,,,,,,,,,,S/V Iron Petrel,,,,,,,,,,
Inner Channel - 55',R/V Golden Horizon,,,,,,,,,,,,,M/Y Wild Wind,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,R/V Long Ketch,R/V Long Ketch,,,,,R/V Long Ketch,,,,,,R/V Long Ketch,,,,,,,R/V Long Ketch,,,R/V Long Ketch,,,,,,,,,
South Float East - 90',OSV AMBER REEF,,,,,,,OSV AMBER REEF,,,,,,,,OSV AMBER REEF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,R/V Coral Gannet,S/V Coral Fathom,,,,,,,,Fuel truck,,,,,,,,,,,,,,
JULY 2010,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,
,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,,,
North Pier West - 410',R/V Blue Voyager,,,,,,,,R/V Iron Ketch,,,,,,,,M/V NORTHERN HARBOR,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,Paving near dock entrance,,,,,,,R/V Quiet Anchor,Student tour,,,,S/V Iron Petrel,,,S/V Iron Petrel,,,,R/V CLEAR TERN,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,S/V Iron Petrel,,S/V Iron Petrel,,,,M/V Green Anchor,,,,M/V Green Anchor,,,,,,,
Inner Channel - 55',,R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,R/V Long Ketch,R/V Long Ketch,,,,R/V Long Ketch,,R/V Long Ketch,,,,,,,,M/Y Deep Horizon,,,,R/V Long Ketch,R/V Long Ketch,R/V Long Ketch,R/V Long Ketch,,,,R/V Long Ketch,,,,,,
South Float East - 90',M/Y Wild Ketch,,,,OSV AMBER REEF,,,,,,,,,,Barge Blue Current,,,,R/V Long Ketch,OSV Silver Tide,,,,,,,,OSV Silver Tide,,M/Y Long Meridian,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F/V Western Sound,R/V Long Ketch,M/V GREY COMPASS,,6,OSV AMBER REEF,,OSV Silver Tide,,,,R/V GOLDEN COMPASS,,Departs 0600,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUGUST 2010,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,
,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,,,
North Pier West - 410',M/V NORTHERN HARBOR,,M/Y Far Skua,,,,M/V NORTHERN HARBOR,,,,,,,,,,,,,,,,,S/V Deep Dory,,,,M/V GREY COMPASS,,,,,,
North Pier Face - 75',R/V CLEAR TERN,,,,,,,Barge SILVER VOYAGER,,,R/V LONG STAR,,S/V Iron Petrel,,S/V Iron Petrel,,,,,,,,,,,,,,,,,,,
North Pier East - 240',M/V Green Anchor,,,,,R/V Quiet Heron,,,S/V Blue Beacon,,,S/V Deep Dory,,,,,S/V Iron Petrel,Departure 0800,,,,,,,M/Y BLUE TIDE,,,,,,,,,
Inner Channel - 55',R/V Golden Horizon,,,,,,,,,,R/V GREEN HARBOR,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',M/Y Long Meridian,R/V Long Ketch,,,,,R/V Long Ketch,,S/V Blue Beacon,,Student tour,,M/Y Iron Voyager,R/V Long Ketch,M/Y Western Beacon,,,,,R/V Long Ketch,,,M/V Blue Gannet,,R/V Quiet Heron,,,,,,M/Y Salt Sound,,,
South Float East - 90',S/V CORAL COVE,M/Y Long Meridian,,,,OSV Far Wind,,,OSV AMBER REEF,,,,,,,,,OSV AMBER REEF,,,,,,,,,,,,,,,,
,,,M/V Deep Marlin,,,Water/slops pumping,,,,,M/V Grey Compass,,,,,,,,,,,,,M/Y Salt Sound,,,,,,R/V Northern Strand,,,,
,,,,,,,,,,,Touch and go,,Fueling,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Delayed due to weather,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTEMBER 2010,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,
,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,,,,
North Pier West - 410',,M/V NORTHERN HARBOR,,,,,,,,,,,,,,,,,,,M/Y BLUE TIDE,,,,,,,,,,,,,
North Pier Face - 75',,F/V Silver Strand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,M/Y BLUE TIDE,,,,,,,,,,,,S/V Iron Petrel,,,,,,Ultrasonic pier test,,,,,,,,
Inner Channel - 55',,,,,R/V Golden Horizon,,,,,,,,,,,,,Science stroll,,,,,,,,,Tug Amber Strand,,,,,,,
South Float West - 90',,M/Y Salt Sound,,,R/V Bright Strand,,R/V Long Ketch,R/V Long Ketch,R/V Bright Strand,,,,,,,,,,,,R/V Long Ketch,,,,R/V Long Ketch,,,R/V Long Ketch,,,,,,
South Float East - 90',OSV AMBER REEF,,R/V Iron Osprey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R/V Northern Strand,,,,Water/slops pumping,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Touch and go,,ETA 1200,Bunkering,,,,,,,,,,,,,,,,,,
OCTOBER 2010,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,
,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,,,
North Pier West - 410',M/Y BLUE TIDE,,,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,R/V GOLDEN COMPASS,,,,R/V GOLDEN COMPASS,,,,R/V GOLDEN COMPASS,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,Arrival 1400,,,,,,,
North Pier East - 240',,,,,Dock maintenance - restricted access,,,,,,,,,,,,,,,F/V SALT FATHOM,Delayed due to weather,,,,,,,,,,,,,
Inner Channel - 55',,,,,Tug Amber Strand,,,,,,,,,R/V Long Ketch,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,Tug Amber Kestrel,,,,,,,,,,,,,,R/V Long Ketch,,,R/V Long Ketch,,,,,,,,,,,,
South Float East - 90',,,R/V Bright Strand,,,,,OSV AMBER REEF,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Fueling @0800,,,,Emergency port call,,,,,,,,,,Safety training (RIBs),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVEMBER 2018,,F/V GREY STRAND,M/V SILVER HORIZON,OSV CLEAR OSPREY,OSV CLEAR OSPREY,R/V CLEAR HARBOR,Barge SWIFT HARBOR,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,
,,R/V GOLDEN COMPASS,,,,,,S/V FAR LANTERN,F/V GREY STRAND,M/V SILVER HORIZON,OSV CLEAR OSPREY,OSV CLEAR OSPREY,R/V CLEAR HARBOR,Barge SWIFT HARBOR,S/V FAR LANTERN,F/V GREY STRAND,M/V SILVER HORIZON,OSV CLEAR OSPREY,OSV CLEAR OSPREY,R/V CLEAR HARBOR,Barge SWIFT HARBOR,S/V FAR LANTERN,F/V GREY STRAND,M/V SILVER HORIZON,OSV CLEAR OSPREY,OSV CLEAR OSPREY,R/V CLEAR HARBOR,Barge SWIFT HARBOR,S/V FAR LANTERN,F/V GREY STRAND,M/V SILVER HORIZON,,,
North Pier West - 410',,,,,,,,,,R/V GOLDEN COMPASS,,,,,R/V GOLDEN COMPASS,,,Barge SILVER VOYAGER,,Barge SILVER VOYAGER,,,,,,,,,R/V GOLDEN COMPASS,,,,,
North Pier Face - 75',,,,,,,,,,,,,Bunker barge,,Departs 0600,,,,,,,,,Barge SILVER VOYAGER,,1400,F/V SALT FATHOM,,,,,,,
North Pier East - 240',R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,M/V Iron Star,,,,,Barge SILVER VOYAGER,,,
Inner Channel - 55',,,,,,,,,ETD PM,,,,,,,,,,,,,,,,,,Arrival 1400,,,,,,,
South Float West - 90',,,,,R/V Long Ketch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,
DECEMBER 2018,OSV CLEAR OSPREY,OSV CLEAR OSPREY,R/V CLEAR HARBOR,Barge SWIFT HARBOR,S/V FAR LANTERN,F/V GREY STRAND,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,
,,,,,,,M/V SILVER HORIZON,OSV CLEAR OSPREY,OSV CLEAR OSPREY,R/V CLEAR HARBOR,Barge SWIFT HARBOR,S/V FAR LANTERN,F/V GREY STRAND,M/V SILVER HORIZON,OSV CLEAR OSPREY,OSV CLEAR OSPREY,R/V CLEAR HARBOR,Barge SWIFT HARBOR,S/V FAR LANTERN,F/V GREY STRAND,M/V SILVER HORIZON,OSV CLEAR OSPREY,OSV CLEAR OSPREY,R/V CLEAR HARBOR,Barge SWIFT HARBOR,S/V FAR LANTERN,F/V GREY STRAND,M/V SILVER HORIZON,OSV CLEAR OSPREY,OSV CLEAR OSPREY,R/V CLEAR HARBOR,,,
North Pier West - 410',,,,,,,,,,,,,,,,,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,
North Pier Face - 75',F/V SALT FATHOM,,,,Barge SILVER VOYAGER,,,,,,,,,,,,M/V Western Ketch,,,,,,,,,,,,,,,,,
North Pier East - 240',R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
