JANUARY 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTOBER 1999,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
North Pier West - 410',,,,,R/V Long Anchor,,,R/V Long Anchor,,,R/V Long Anchor,,,,,,,,,,,,,,,,R/V Long Anchor,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,Barge Salt Dory,,,,,,,,,,,,,,,Barge Salt Dory,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,S/V Far Horizon,,,,,,,,,,,,,,,,,,,,R/V SALT DRIFT,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVEMBER 1999,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
North Pier West - 410',,,,,,,,,,,,,,,,,,,Barge Salt Dory,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',Barge Salt Dory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECEMBER 1999,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
North Pier West - 410',Barge Salt Dory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
