North Pier West - 410',,F/V NORTHERN VOYAGER,,,,M/V Quiet Petrel,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,Barge SALT DORY,,OSV LONG HARBOR,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APRIL 2003,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
North Pier West - 410',M/V Quiet Petrel,,,,,,,,,,,,,S/V GREEN OSPREY,,,,M/Y GREEN LANTERN,,,M/Y GREEN LANTERN,,,,,,,,Barge BRIGHT STAR,,
North Pier Face - 75',,,,,,,,,,,,,,,,S/V GREEN OSPREY,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,Barge SALT DORY,,,,,,,,,R/V WILD TIDE,,M/Y GREEN LANTERN,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,R/V Western Sextant,R/V Western Sextant,R/V Western Sextant,,,,,,R/V Western Sextant,,,R/V Western Sextant,,R/V Western Sextant,,,R/V Western Sextant,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAY 2003,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
North Pier West - 410',Barge BRIGHT STAR,,,S/V Green Osprey,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',M/V Quiet Reef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,M/Y GREEN LANTERN,,M/Y GREEN LANTERN,R/V Amber Osprey,,,,,Tug Wild Gannet,,,,,,,Tug Wild Gannet,,,,,,,,,M/Y GREEN LANTERN,,M/Y GREEN LANTERN,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,Tug Far Ketch,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,R/V Western Sextant,R/V Western Sextant,R/V Western Sextant,R/V Western Sextant,R/V Western Sextant,,,,R/V Western Sextant,,R/V Western Sextant,R/V Western Sextant,,,,R/V Western Sextant,,R/V Western Sextant,R/V Western Sextant,,,,R/V Western Sextant,R/V Western Sextant,,,,,,
,,,,,OSV Golden Tern,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNE 2003,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
North Pier West - 410',F/V Swift Compass,,,,,,,R/V WILD TIDE,,R/V WILD TIDE,,,,,,,R/V CLEAR SEXTANT,,,,,,,,,,,,,Barge DEEP LANTERN,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,M/Y GREEN LANTERN,,
North Pier East - 240',,,,,,,Tug Wild Gannet,,,,,,,,,,F/V NORTHERN VOYAGER,,,,R/V Quiet Marlin,,,,,,,,F/V NORTHERN TERN,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,M/Y GREY OSPREY,,,,,,,,,,,,,,,R/V Western Sextant,,,,,,,,,,,,,
South Float East - 90',,R/V Western Sextant,,,,,,,,,,S/V FAR HORIZON,,,,,,,,ETA 1200,ETD PM,,,,,M/V DEEP REEF,,,,,
,,OSV Golden Tern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JULY 2003,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
North Pier West - 410',,,M/V Amber Ketch,,,,,,,,,,,,,,,,R/V CLEAR SEXTANT,,,,,,,,,,,,M/Y GREEN LANTERN
North Pier Face - 75',,,,M/Y GREEN LANTERN,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,Barge SALT DORY,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,M/V DEEP REEF,,,,,M/V DEEP REEF,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,S/V FAR HORIZON,,,,,,F/V IRON SEXTANT,,,,,,S/V FAR HORIZON,,,,,,,,,,,S/V FAR HORIZON,,,,
,,,,,,,,,,,,Barge Bright Sound,,,,OSV Golden Tern,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUGUST 2003,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
North Pier West - 410',,,,R/V CLEAR SEXTANT,,,,,,,,,,,,,,,,,,F/V IRON SEXTANT,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,Barge SALT DORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,M/V Iron Fathom,,,,,S/V Golden Heron,,,,,,,,,,,,,,,,,,
South Float East - 90',,S/V FAR HORIZON,,R/V Bright Dory,,,,,,,S/V FAR HORIZON,,,,,M/V Amber Tern,,,,,,S/V FAR HORIZON,,,,,,,,,
,,,,,,,OSV Golden Tern,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTEMBER 2003,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
North Pier West - 410',,,,,,,M/V SILVER SOUND,,,,,,,,M/V SILVER SOUND,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,M/Y GREEN LANTERN,,,,,,,,,,Barge SALT DORY,,,,,,,,
North Pier East - 240',,Barge SALT DORY,,,,,,,,,,,,,,,Barge SALT DORY,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,M/V DEEP REEF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTOBER 2003,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
North Pier West - 410',,,,,,,,,,R/V SALT DRIFT,,,,,,,,,,,,,,,,,,,R/V CLEAR SEXTANT,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,Barge SALT DORY,,,,,,,,,,,,,,,,,,,Barge SALT DORY,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',S/V Golden Heron,,,,,,,S/V Golden Heron,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVEMBER 2003,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
North Pier West - 410',,R/V CLEAR SEXTANT,,,,,,M/Y GREEN LANTERN,,M/Y GREEN LANTERN,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,Barge SALT DORY,,,,,,,,Barge SALT DORY,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,M/V QUIET PETREL,,,,,,,M/V QUIET PETREL,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECEMBER 2003,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
North Pier West - 410',,,,,,,,,,,,,,,,,,,R/V CLEAR SEXTANT,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',Barge SALT DORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
