South Float West - 90',,,,,R/V Far Sextant,,M/V Golden Ledge,,,,,R/V Long Ketch,M/Y Blue Compass,,,,,,R/V Long Ketch,Barge Quiet Horizon,,,,,,R/V Long Ketch,M/V Deep Reef,,,R/V Northern Osprey,,,,,
South Float East - 90',,,,,OSV AMBER REEF,,,,,,,,,,,,,,,,,OSV AMBER REEF,,,,,R/V Silver Heron,,,,,,R/V Long Ketch,,
,,,,,,R/V Amber Harbor,,,,,,,,,,,,,,,,,,,,,R/V Northern Reef,Holiday,,,,,,Community sail day,
,F/V Western Sound,R/V Long Ketch,M/V GREY COMPASS,,Barge SILVER VOYAGER,OSV AMBER REEF,,OSV Silver Tide,,M/V NORTHERN HARBOR,,R/V GOLDEN COMPASS,,Delayed due to weather,,OSV Salt Osprey,,,,,,,,,,S/V Long Lantern,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Campus event,,,,,,,,,,,Wire spooling,,,,,
AUGUST 2013,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S
North Pier West - 410',,,,,M/Y BLUE TIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,R/V GOLDEN COMPASS,,,,,,,,R/V Green Marlin,,,M/V NORTHERN HARBOR,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',R/V Long Compass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,R/V Northern Osprey,,OSV Salt Marlin,,R/V Long Ketch,,,,,R/V Long Ketch,R/V Long Ketch,,,,,,R/V Long Ketch,,,,,,,"Bollard replacement, west face",,,,,,,
South Float East - 90',,,,,,,,,,OSV AMBER REEF,,,,,S/V Grey Drift,,,,M/Y Coral Dory,,,,,,,,,,,,,,M/V Salt Petrel,,
,,,,,,,,,,,,,,Tug Deep Current,,,,,,,,,,,,,R/V Western Kestrel,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Public open house,,Bunker barge,,,,,,,,,,,,,,,,,,,,,,,
SEPTEMBER 2013,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,,,,,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,
North Pier West - 410',,,,,M/Y BLUE TIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,M/V NORTHERN HARBOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',Tug Clear Anchor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,Ultrasonic pier test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,Rescue drill,,,,R/V Northern Ledge,R/V Blue Star,,,,R/V Long Ketch,R/V Blue Star,,,,,,R/V Long Ketch,R/V Long Ketch,R/V Blue Star,,,,OSV AMBER REEF,,
,R/V Western Kestrel,,,,,,,,,,,,,M/V Iron Tern,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Bunkering,,,,,,,,,,,,,,,,,,
OCTOBER 2013,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR
North Pier West - 410',,,,,,M/Y Blue Tide,,,,,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,M/V NORTHERN HARBOR,,,,,,,,,,,,,,,,,,,,,,,,,M/Y Blue Tide,,,,,
Inner Channel - 55',R/V Long Compass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,R/V Long Ketch,,M/Y High Tern,,,,,,,,,,,R/V Long Ketch,,,,R/V Long Ketch,R/V Long Ketch,,,R/V Long Ketch,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Bollard replacement, west face",,,,,,,Dock maintenance - restricted access,,,,,,,,,,,,,,,,,Donor reception,,,Concrete work near test wells,,,
NOVEMBER 2013,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,,,,,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,
North Pier West - 410',,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,R/V GOLDEN COMPASS,,,,R/V GOLDEN COMPASS,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,M/Y Blue Tide,,,,,,,,,,,,,,,,,,,,,,,,,M/V NORTHERN HARBOR,,,,,
Inner Channel - 55',Tug Clear Anchor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R/V Clear Drift,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECEMBER 2013,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T
North Pier West - 410',,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,S/V Grey Skua,,,,,,,,,Barge SILVER VOYAGER,,Barge SILVER VOYAGER,,Tug Far Ledge,,,,,,,,,,,,,,,
North Pier East - 240',,,,,M/V NORTHERN HARBOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',Tug Clear Anchor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,R/V Clear Drift,,,OSV Blue Osprey,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Barge Iron Kestrel,,,,,,,,,,,,,,,,,,,,,
