Harborview Marine Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009 Pier & Dock Schedule (synthetic sample data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contact: Dock Coordinator, Marine Operations - dockops@example.org or ext 0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JANUARY 2009,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APRIL 2009,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,
North Pier West - 410',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Tug Wild Strand,,,,,,,,,
MAY 2009,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S
North Pier West - 410',,,,,,,,,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,R/V GOLDEN COMPASS,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,M/V GREY COMPASS,,,,M/V GREY COMPASS,,
Inner Channel - 55',,,,R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,OSV AMBER REEF,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNE 2009,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,
North Pier West - 410',,,R/V GOLDEN COMPASS,,,F/V IRON LEDGE,,,,,,R/V GOLDEN COMPASS,,,,,,,,R/V GOLDEN COMPASS,,,,,,M/V GREY COMPASS,,M/Y Long Meridian,M/V NORTHERN HARBOR,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,OSV Clear Dory,,,,,,,,,,,,
North Pier East - 240',,,OSV AMBER REEF,,,,,,,,,,,,,,,,,,,,Tug Far Compass,,,,,,,,R/V CORAL TERN
Inner Channel - 55',,,R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',S/V Silver Cove,,OSV AMBER REEF,,,,,,,,,,,,,,,,,,,,,,,,,,M/Y Long Meridian,S/Y High Gannet,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JULY 2009,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F
North Pier West - 410',M/V NORTHERN HARBOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,Community sail day,,,,,,,,,,,R/V WESTERN DRIFT,,,,,F/V Northern Dory,,,,,,F/V Grey Meridian,,,,,,,
North Pier East - 240',,,,R/V GOLDEN COMPASS,R/V GOLDEN COMPASS,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,
Inner Channel - 55',,,R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,R/V Long Ketch,,M/V Amber Meridian,,,,,,,,,,,,,
South Float East - 90',,R/V Northern Lantern,,,,R/V Long Ketch,,,,R/V Long Ketch,,,,M/Y Wild Tern,,,,M/Y Grey Heron,,R/V Long Ketch,OSV Silver Tide,,,,,R/V Long Ketch,,,OSV Silver Tide,,Arrives AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUGUST 2009,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M
North Pier West - 410',M/V NORTHERN HARBOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,F/V Western Sound,,,,,,,,,,,,,,,,F/V Clear Voyager,,,
North Pier East - 240',M/V Northern Kestrel,,,,,,,,,,,,,,M/V GREY COMPASS,,,M/V Grey Compass,,,,,,R/V GOLDEN COMPASS,,,,,,,
Inner Channel - 55',,,,,R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',R/V Long Ketch,,R/V Long Ketch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',Arrives AM,,,M/Y Quiet Voyager,,,,R/V Long Ketch,,,F/V Golden Sextant,,,,,,,R/V Northern Lantern,,,,,,,,,,,,S/V Golden Beacon,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTEMBER 2009,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,
North Pier West - 410',R/V CORAL TERN,,,R/V CORAL TERN,,,,,,,,,,,,,,F/V Coral Sextant,,,,,,M/V NORTHERN HARBOR,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,R/V Long Ketch,,
South Float East - 90',Barge SILVER VOYAGER,,,,,,,R/V Long Ketch,,,,,,,,,R/V Long Ketch,,R/V Long Ketch,R/V Long Ketch,,R/V Long Ketch,R/V Long Ketch,S/V Silver Current,,R/V Long Ketch,R/V Long Ketch,R/V Long Ketch,R/V Long Ketch,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTOBER 2009,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S
North Pier West - 410',,,M/V NORTHERN HARBOR,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,R/V GOLDEN COMPASS,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,Campus event,,,,,,,,,,,,
North Pier East - 240',,,,,,,"Bollard replacement, west face",,,,,,,M/V Grey Compass,OSV AMBER REEF,,,,,,,,,,,,,,,,
Inner Channel - 55',,R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,R/V Long Ketch,R/V Long Ketch,R/V Long Ketch,,,,,,,,,,,,R/V Long Ketch,R/V Long Ketch,R/V Long Ketch,,Donor reception,,,,,,,
South Float East - 90',,,,R/V Long Ketch,M/V Deep Reef,,,,,R/V Long Ketch,,R/V Long Ketch,R/V Long Ketch,R/V Long Ketch,R/V Long Ketch,,R/V Long Ketch,,,OSV AMBER REEF,,,,,,,R/V Long Ketch,R/V Long Ketch,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVEMBER 2009,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,
North Pier West - 410',,,,,,,,R/V GOLDEN COMPASS,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',Dock inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,R/V Swift Lantern,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECEMBER 2009,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR
North Pier West - 410',,,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
