Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAY 2002,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
North Pier West - 410',,,,OSV Amber Cove,,,,,M/V Quiet Petrel,,,,,R/V Wild Kestrel,,,,,,,R/V Wild Kestrel,,,R/V Wild Kestrel,,R/V LONG ANCHOR,,R/V LONG ANCHOR,,Barge WESTERN COVE,
North Pier Face - 75',,R/V LONG ANCHOR,,R/V LONG ANCHOR,,,,R/V LONG ANCHOR,R/V LONG ANCHOR,,R/V LONG ANCHOR,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',Barge SALT DORY,,,M/V Quiet Petrel,,,,,,Barge SALT DORY,,,,,,,Barge SALT DORY,,,,,,,,,,,,,Barge SALT DORY,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,M/V Iron Horizon,,,,S/V Golden Heron,,,S/V Golden Heron,,,,,,,,,,,,,,,S/V Golden Heron,,,,,,,
,,,,,OSV Golden Tern,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNE 2002,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
North Pier West - 410',,,R/V LONG ANCHOR,R/V Wild Kestrel,,,,M/V Quiet Petrel,,,,R/V Coral Current,,R/V LONG ANCHOR,,,,R/V LONG ANCHOR,,,,R/V LONG ANCHOR,,R/V LONG ANCHOR,,,,,R/V LONG ANCHOR,R/V LONG ANCHOR,
North Pier Face - 75',,,,R/V Wild Kestrel,,,,,R/V LONG ANCHOR,,,,,,,,,,,,,,,,,,,R/V LONG ANCHOR,R/V LONG ANCHOR,,
North Pier East - 240',Barge SALT DORY,,,,,,,,,,,,,,,,,,,,Barge SALT DORY,,,,,,Barge SALT DORY,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,S/V Golden Heron,,Barge WESTERN COVE,,,,,,,,,,,,,,,
,,,,,OSV Golden Tern,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JULY 2002,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
North Pier West - 410',,,R/V LONG ANCHOR,M/V QUIET PETREL,,,,,M/V Quiet Petrel,,M/V Quiet Petrel,R/V LONG ANCHOR,,,,,,M/V Quiet Petrel,,,,,M/V Quiet Petrel,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,M/V Quiet Petrel,,,,,,,,,,,,,,,
North Pier East - 240',,,,,Barge SALT DORY,,,,,,,,,,,,,Barge SALT DORY,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,M/V DEEP REEF,,,,,,,,Tug Green Sound,,,,,Barge High Osprey,,M/V NORTHERN HERON,,,M/V NORTHERN HERON,,,,M/V NORTHERN HERON,,,M/V NORTHERN HERON,,S/V Golden Heron
South Float East - 90',,,,,,M/V DEEP REEF,,R/V Grey Ledge,,,,M/V NORTHERN HERON,,,,,,,R/V Northern Lantern,,S/V Far Tern,,,,,,,,S/V FAR HORIZON,,
,,,,,,,Barge Bright Sound,,,,OSV Golden Tern,,,,,,,,,R/V Amber Heron,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,R/V Golden Meridian,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUGUST 2002,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
North Pier West - 410',R/V CLEAR SEXTANT,,,,,,,,,,,,,,R/V CLEAR SEXTANT,,,,,,,,,,,,,,,,
North Pier Face - 75',M/V QUIET PETREL,,,,,,,,,,,,,,M/V QUIET PETREL,,,,,,,,,,,,,,,,
North Pier East - 240',,,,Barge SALT DORY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,M/V NORTHERN HERON,,,,M/Y Golden Wind,,,,S/V Golden Heron,S/V LONG SEXTANT,,S/V Golden Heron,,,,,,M/V NORTHERN HERON,,Tug Green Sound,,Tug SALT STAR,,,,,R/V Swift Ketch,,
South Float East - 90',S/V FAR HORIZON,,,,,,,R/V GREY SEXTANT,,,S/V FAR HORIZON,,,,Barge WILD OSPREY,,S/V FAR DORY,S/V GREEN COMPASS,,,,S/V FAR HORIZON,,,,,,S/V FAR HORIZON,,,
,,,OSV Golden Tern,,,,,,,,,M/Y LONG PETREL,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,S/V Golden Heron,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTEMBER 2002,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
North Pier West - 410',,,,,,,R/V IRON REEF,,,,,,,,,,,,,,,,,M/V Quiet Sextant,,,,,,,
North Pier Face - 75',,R/V Iron Compass,,,,,,,,,,,,,,M/V QUIET PETREL,,,,,,,,,,,M/V QUIET PETREL,,,,
North Pier East - 240',,,,,,,,R/V LONG ANCHOR,,,,,R/V LONG ANCHOR,,,,,,,M/V QUIET PETREL,,,,,,Barge SALT DORY,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,M/V CORAL STAR,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTOBER 2002,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
North Pier West - 410',,,,,,,M/V NORTHERN HARBOR,,,,,,,,R/V LONG ANCHOR,,R/V LONG ANCHOR,,,,R/V LONG ANCHOR,,,,R/V LONG ANCHOR,M/V NORTHERN HARBOR,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,Barge SALT DORY,,,,,,,,,,,,,,,,,,,,,,,R/V LONG ANCHOR,,,,R/V LONG ANCHOR
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,S/V GOLDEN HERON,M/V DEEP REEF,,,,,,,,,,,,,,
South Float East - 90',,,,Barge BLUE HORIZON,,,S/V GOLDEN HERON,S/V FAR HORIZON,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVEMBER 2002,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
North Pier West - 410',,,,,R/V LONG ANCHOR,R/V LONG ANCHOR,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',M/V Quiet Petrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,Barge SALT DORY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECEMBER 2002,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
North Pier West - 410',M/V Quiet Petrel,,,,,,,,,,,R/V LONG ANCHOR,,,,,,,,R/V CLEAR SEXTANT,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',Barge SALT DORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
