,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harborview Marine Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 Pier & Dock Schedule (synthetic sample data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contact: Dock Coordinator, Marine Operations - dockops@example.org or ext 0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,OSV Clear Marlin,,,,,,,,,,,,,,,,,,,,,,,Fuel truck,,
April,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,
North Pier West - 410',,R/V GOLDEN COMPASS,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,Tug BLUE FATHOM,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,F/V Salt Ketch,,,,,,,,,,,,,Tug BLUE FATHOM,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,R/V Long Ketch,,,,,,,,,,,,,,R/V Long Ketch,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F
North Pier West - 410',,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,R/V Long Ketch,,,,,R/V Long Ketch,,,,,,,R/V Long Ketch,,,,,,,,,R/V Long Ketch,,,,,,,
South Float East - 90',,,,,,,,,,,,OSV AMBER REEF,,,,,,,,,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,
North Pier West - 410',,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,F/V Coral Marlin,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,R/V Long Ketch,,,,,,,,,,,,,,,R/V Long Ketch,,,,,,,,,,,,
South Float East - 90',,,OSV AMBER REEF,,,,,,,,,,,,,,,,,OSV AMBER REEF,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W
North Pier West - 410',,,,,,,,,,,,,,,,,,,,,,,,,,,Tug BLUE FATHOM,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,R/V Long Ketch,,,,,,,R/V Long Ketch,,R/V Long Ketch,,,R/V Long Ketch,,R/V Long Ketch,,,,,,,R/V Long Ketch,,,,,,,R/V Long Ketch
South Float East - 90',,OSV AMBER REEF,,,,,,,,OSV AMBER REEF,,,,,,,,,,,,,,,,OSV AMBER REEF,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Community sail day,,,,,,,,,,,,,,,
August,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S
North Pier West - 410',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,Tug BLUE FATHOM,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,OSV AMBER REEF,,,,,,,,,,,OSV AMBER REEF,,,,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,
North Pier West - 410',,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR
North Pier West - 410',,,,,,,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,R/V GOLDEN COMPASS,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,OSV AMBER REEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,
North Pier West - 410',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T
North Pier West - 410',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,R/V GOLDEN COMPASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F/V Western Sound,,,,R/V Long Ketch,M/V GREY COMPASS,,Barge SILVER VOYAGER,OSV AMBER REEF,,OSV Silver Tide,,M/V NORTHERN HARBOR,,R/V GOLDEN COMPASS,,ETD PM,,,,,,,,,,,,,,,
