JANUARY 2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNE 2001,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
North Pier West - 410',Barge SALT DORY,,,,Barge SALT DORY,,,,,,,,,,Float rebuild - no usage permitted,Ultrasonic pier test,,,,,,,,,,,,,,,
North Pier Face - 75',R/V Iron Harbor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',R/V LONG ANCHOR,,Emergency port call,Delayed due to weather,,,R/V Iron Harbor,,R/V Iron Harbor,,,,Barge SALT DORY,,,,,,R/V Iron Harbor,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',Tug WESTERN CURRENT,,,,,,,,,,M/V Grey Cove,,,,,,,R/V Iron Harbor,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,S/V FAR HORIZON,,,ETD PM,Departs 0600,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JULY 2001,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
North Pier West - 410',,,,,,,,,,R/V LONG ANCHOR,,R/V LONG ANCHOR,,Tug BLUE FATHOM,,,M/V Quiet Ledge,,,,,,,Tug BLUE FATHOM,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,R/V Green Sextant,,,,,,,,,,
North Pier East - 240',Barge SALT DORY,,,,,,,,,,,,R/V Green Sextant,,,,,,,S/V Amber Gannet,,,,,,,,R/V LONG ANCHOR,,R/V LONG ANCHOR,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,Departs 0600,,,,,,R/V WILD DORY,,,,,,,,,,,S/V GOLDEN FATHOM,,,,,
South Float East - 90',,,,S/V FAR HORIZON,,,,,,,,,,,,,S/V FAR HORIZON,,,,,,,,,,S/V FAR HORIZON,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUGUST 2001,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
North Pier West - 410',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R/V LONG ANCHOR
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M/V NORTHERN PETREL
North Pier East - 240',,,,,,R/V LONG ANCHOR,,,,,,,,,,M/V Amber Petrel,,R/V Silver Osprey,,,,,,,,,Barge SALT DORY,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,M/V QUIET PETREL,,R/V Long Marlin,,,,,,,,,,,,
South Float West - 90',,,,,,S/V AMBER FATHOM,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,S/V AMBER FATHOM,S/V CORAL COMPASS,,S/V FAR HORIZON,,,,,,,,,,,,S/V FAR HORIZON,S/V Green Petrel,,S/V FAR HORIZON,,,,,,,S/V FAR HORIZON,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTEMBER 2001,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
North Pier West - 410',R/V LONG ANCHOR,,,R/V LONG ANCHOR,,,,R/V LONG ANCHOR,,R/V CLEAR SEXTANT,,,,,,,,,,,,,,Tug BLUE FATHOM,,,,,R/V LONG ANCHOR,,
North Pier Face - 75',,,,M/V Coral Kestrel,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,Barge SALT DORY,,,,,,,,,R/V LONG ANCHOR,,,Barge SALT DORY,,,,M/V GREY HARBOR,M/V GREY HARBOR,,,,,,OSV DEEP HARBOR,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',S/V FAR HORIZON,,,,,,,,,,,,,,,,,,,,,,,,,,,Barge WESTERN COVE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTOBER 2001,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
North Pier West - 410',,R/V LONG ANCHOR,,,,,,,,,,,,,,R/V GOLDEN MARLIN,,,,,R/V LONG ANCHOR,,R/V LONG ANCHOR,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,Barge SALT DORY,,,,,,,,,,,,,,Barge SALT DORY,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,S/V FAR HORIZON,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVEMBER 2001,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
North Pier West - 410',,,,,,,R/V CLEAR SEXTANT,,,,,,,,,,,,,,,,,,,,,,,R/V LONG ANCHOR,
North Pier Face - 75',,,,,,,R/V LONG ANCHOR,,,,R/V LONG ANCHOR,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',Barge SALT DORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,M/V Coral Kestrel,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECEMBER 2001,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
North Pier West - 410',,,,,R/V LONG ANCHOR,,R/V LONG ANCHOR,,,R/V LONG ANCHOR,,R/V LONG ANCHOR,,,,R/V LONG ANCHOR,,,,,R/V LONG ANCHOR,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',Barge SALT DORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
