Harborview Marine Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 Pier & Dock Schedule (synthetic sample data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contact: Dock Coordinator, Marine Operations - dockops@example.org or ext 0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T
North Pier West - 410',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R/V GOLDEN COMPASS,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,Barge Silver Voyager,,,,F/V Bright Ketch,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,R/V Long Ketch,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,,,,,,,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,
North Pier West - 410',,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,OSV Golden Ketch,,,,,,,,,,,,,,,,,,,,,OSV Golden Ketch,,Tug BLUE FATHOM,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,R/V Long Ketch,,,,,,,,,,,R/V Long Ketch,,,,,,,,,,,,,R/V Long Ketch,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,Provisioning,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S
North Pier West - 410',,,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,M/V GREY COMPASS,,,,,,,,M/V Blue Lantern,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,Tug BLUE FATHOM,,,,,,M/V Blue Lantern,,,,,,,,,,,,,,,,,,
Inner Channel - 55',R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,R/V Long Ketch,,,R/V Long Ketch,,,R/V Long Ketch,R/V Long Ketch,,,R/V Long Ketch,,,R/V Long Ketch,,R/V Long Ketch,,,,,R/V Long Ketch,,R/V Long Ketch,,,,,,,R/V Bright Current,
South Float East - 90',,,,,,,,,,OSV AMBER REEF,,,,,,,,,,,,,,,,,OSV AMBER REEF,,,,,,OSV AMBER REEF,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road race - access limited,,,,,,,
June,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,,,,,,,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,
North Pier West - 410',,,,,,,,,Tug GOLDEN SOUND,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',M/V GREY COMPASS,,,,,,R/V Bright Current,,,,,R/V NORTHERN WIND,,,,,,,,,,,,,,,,,OSV Golden Ketch,,,,,F/V High Skua,,F/V High Skua,
Inner Channel - 55',R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,S/V Golden Anchor,,,,,,,,S/V Golden Anchor,,,,R/V Long Ketch,,S/V Golden Anchor,,,,R/V Long Ketch,S/V High Meridian,,,,,,R/V Long Ketch,,,R/V Long Ketch,,
South Float East - 90',,,,,,,OSV AMBER REEF,,,,,,,,,,,,,,,,,OSV AMBER REEF,,,,,,,,OSV AMBER REEF,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Pier repair - no docking,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Fuel truck,Fueling @0800,,,,,,,,,,,,,,,Fueling @0800,,,,,,,,,
July,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F
North Pier West - 410',,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,Barge Quiet Wind,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,Tug Bright Petrel,,,,,,,,,,,M/V Quiet Petrel,R/V Bright Current,,,,,R/V Bright Current,,,,M/Y High Sextant,
Inner Channel - 55',R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F/V CLEAR KETCH,,
South Float West - 90',,,,,,,,,,,R/V Long Ketch,,,,R/V Long Ketch,,,,,,,,R/V Long Ketch,,,,,,,,R/V Long Ketch,,,,,OSV Green Ketch,
South Float East - 90',,,,,,,OSV AMBER REEF,,,,,,,,,,,,F/V Silver Reef,,,,,,,,,OSV AMBER REEF,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F/V Western Sound,R/V Long Ketch,M/V GREY COMPASS,,Barge SILVER VOYAGER,OSV AMBER REEF,,OSV Silver Tide,,M/V NORTHERN HARBOR,,R/V GOLDEN COMPASS,,ETA 1200,,11,,S/V Green Skua,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Community sail day,,,Fuel truck,,,,,Road race - access limited,,,,,,,,,,,
August,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M
North Pier West - 410',,,,,,,Tug Northern Beacon,,,,,,,,,,,Road race - access limited,,,,,,,,Tug Northern Beacon,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,M/Y High Sextant,F/V High Skua,R/V Bright Current,,,,,,,,OSV Golden Ketch,,,,,,,,,,,,,,M/V Coral Beacon,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,R/V Long Ketch,,R/V Long Ketch,,,,R/V Long Ketch,,,,,,S/V High Meridian,,,M/V Bright Cove,,M/V Deep Anchor,,,,,S/V High Meridian,,,,,,,M/V Coral Horizon
South Float East - 90',,,,,,,,,,,,,,,,,,M/Y Wild Ketch,,OSV AMBER REEF,,,,,,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,Touch and go,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M/Y Quiet Cove,,,,,
September,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,,,,,,,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,
North Pier West - 410',,,,,,,Tug Coral Reef,,,,,,,,,,,,Tug Northern Beacon,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,M/V Coral Lantern,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,R/V Long Ketch,,,,,,M/V Deep Anchor,,,,,S/V Golden Anchor,,,,,R/V Long Ketch,R/V Long Ketch,,,,,R/V Long Ketch,,,R/V Long Ketch,,R/V Long Ketch,
South Float East - 90',,,,,,,,,,OSV AMBER REEF,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Fueling,,,,,1400,,,,,,
October,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S
North Pier West - 410',,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,M/V Coral Lantern,,,,,,,,,,,,,,,,,
Inner Channel - 55',R/V Golden Horizon,,,,,,,,,R/V Grey Wind,R/V Salt Current,R/V Grey Wind,,,,,,F/V Western Meridian,Tug Silver Tern,Barge Grey Dory,,,,,,F/V Western Meridian,,,,,M/Y Golden Kestrel,,Barge Grey Dory,,,,
South Float West - 90',,,,,,,,,,R/V Long Ketch,,,,,,,,R/V Long Ketch,R/V Long Ketch,R/V Long Ketch,,,,,,R/V Long Ketch,,,,,R/V Long Ketch,,R/V Long Ketch,,,,
South Float East - 90',,,,,,,,,OSV AMBER REEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,S/V SALT KESTREL,,,,,,,,,,,,,,Holiday,,,,,,,
November,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,,,,,,,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,
North Pier West - 410',,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,F/V Far Sound,,F/V SALT FATHOM,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',R/V Golden Horizon,,,,,,,,,,OSV Bright Ledge,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,R/V Long Ketch,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,OSV AMBER REEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR
North Pier West - 410',,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,S/V Salt Beacon,,,,,,,,,,,,,,,,,,,,,,,,,R/V Quiet Strand,,
Inner Channel - 55',R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
