Harborview Marine Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017 Pier & Dock Schedule (synthetic sample data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contact: Dock Coordinator, Marine Operations - dockops@example.org or ext 0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
South Float West - 90',,,R/V Long Ketch,R/V Long Ketch,,M/V Blue Strand,,R/V Long Ketch,S/V Salt Anchor,,,R/V Long Ketch,,,R/V Long Ketch,R/V Long Ketch,,R/V Long Ketch,S/V Northern Fathom,,,,,,R/V Long Ketch,,,,,R/V Long Ketch,,
South Float East - 90',,OSV AMBER REEF,,,,,,,,OSV AMBER REEF,,,,,,,,,,,,,S/V SWIFT BEACON,,,,OSV AMBER REEF,,,,,
North Finger Piers:,,,Arrives AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,Utility work on pier face,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,Safety training (RIBs),,Student tour,,,,,,Holiday,,,,,,,,,,,,,,
August,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR
North Pier West - 410',,,,,,,,,,,,F/V Western Osprey,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,R/V GOLDEN COMPASS,
North Pier Face - 75',,,,,,,,,,,,,Bunker barge,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,F/V SALT FATHOM,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,R/V Long Ketch,,R/V Long Ketch,,,,R/V Long Ketch,,,,,,,,S/V Golden Anchor,,,,,R/V Long Fathom,,,,,
South Float East - 90',,,,,OSV AMBER REEF,,,,,,,,,OSV AMBER REEF,,,,,,,,,R/V Long Ketch,,,,,,OSV AMBER REEF,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bunkering,,,,,,,,,,,,,R/V Silver Petrel,,,,,,,,,,,,,,,,
September,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,
North Pier West - 410',,R/V GOLDEN COMPASS,,,,,,,,,,,,,ETA 1200,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,Tug Golden Sound,,,,,,,,,,,OSV Silver Gannet,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,ETA 1200,M/Y Swift Drift,R/V Long Ketch,,,R/V Long Ketch,,,,,,,R/V Long Ketch,,,,,,,
South Float East - 90',,,,,,,,R/V Blue Star,,,,,,Touch and go,ETA 1200,,,,,,,,,OSV AMBER REEF,,,,,,,,
North Finger Piers:,,,,,,,,Bunker barge,,,,Donor reception,,,,,,,,,,,,,,,Wire spooling,,,,,
Small craft slips (institution boats),,,,,M/V HIGH COVE,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,ETD PM,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,R/V Silver Petrel,,,,,,,,,,,,,,,Bunker barge,Community sail day,,,,,,,,,,,,,,
October,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T
North Pier West - 410',,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,,R/V GOLDEN COMPASS,,,R/V GOLDEN COMPASS,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,OSV AMBER REEF,,,,,,,R/V Swift Current,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,R/V Long Ketch,,,R/V Long Ketch,,,,R/V Long Ketch,,,,,,,R/V Long Ketch,,,,,,,,,,,,,,,,
South Float East - 90',,,OSV AMBER REEF,,,OSV AMBER REEF,,,,,,,R/V High Horizon,,,,,,,,,,,,,,,,,,,
North Finger Piers:,,,,,Water/slops pumping,,,,,Load equipment,Holiday,,,,,,,Barge Bright Osprey,,,,,,,,,,,,,Fueling @0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,Fueling,,,,,,,,,,,,,,
November,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,
North Pier West - 410',,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,F/V SALT FATHOM,,,,,,,,,
Inner Channel - 55',R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,R/V Long Ketch,,R/V Long Ketch,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,Fuel truck,,,,,,,,,
December,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S
North Pier West - 410',,R/V GOLDEN COMPASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,F/V SALT FATHOM,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F/V Western Sound,,,,,R/V Long Ketch,M/V GREY COMPASS,,Barge SILVER VOYAGER,OSV AMBER REEF,,OSV Silver Tide,,M/V NORTHERN HARBOR,,R/V GOLDEN COMPASS,,Arrival 1400,,F/V SALT FATHOM,,Tug Golden Sound,,,,,,,,,,
