Harborview Marine Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 Pier & Dock Schedule (synthetic sample data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contact: Dock Coordinator, Marine Operations - dockops@example.org or ext 0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JANUARY 2011,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,Delayed due to weather,,,,,,,,,,,,,,,,,,,,,
,F/V Clear Skua,,,,,,,,,,,,,,,,,,,,,,,,,,,,Load equipment,,,,,,
AUGUST 2011,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,
,,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,,,
North Pier West - 410',R/V Wild Ledge,,,,,,,,,,,,,R/V Wild Ledge,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,
North Pier Face - 75',M/V DEEP SOUND,M/V DEEP SOUND,,,,,,,OSV High Star,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,S/V Iron Marlin,F/V SALT FATHOM,M/Y Salt Horizon,,,F/V SALT FATHOM,,,M/Y Swift Skua,,Community sail day,,,,,,,,,,,M/V BRIGHT GANNET,,,,,,,,,
Inner Channel - 55',,,,,,,Road race - access limited,,,,,,,,Barge Coral Skua,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,R/V Long Ketch,,,,,,,Float rebuild - no usage permitted,M/Y Western Strand,,R/V Long Ketch,R/V Long Ketch,,,,S/V Golden Cove,R/V Long Ketch,,R/V Green Wind,R/V Northern Lantern,M/Y Clear Gannet,,,,,,,,,,
South Float East - 90',,,R/V Blue Heron,,,,M/V Deep Reef,,,M/Y Salt Cove,,,,M/Y Deep Compass,,,,,,,,,,,,,,,,,M/Y Salt Sound,,,,
,,,,,,,,,,,,,,R/V High Kestrel,Arrival 1400,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,M/V Clear Tide,,,,,,,,,,,,,,,,
,,,,,,,S/V Clear Sound,,,,,Returns from sea trials,,,,,Rescue drill,,,,,,,Holiday,,,,,,,,,,,
,,,,,,,Student tour,,,"Bollard replacement, west face",,,,,,Delayed due to weather,Provisioning,,,OSV Western Skua,,,,,Campus event,,,,,,,,,,
SEPTEMBER 2011,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,
,,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,,M,T,W,TR,F,,,,
North Pier West - 410',,R/V GOLDEN COMPASS,,,,,R/V GOLDEN COMPASS,,,,,,,,R/V Deep Star,R/V GOLDEN COMPASS,,,,,,R/V Deep Star,R/V GOLDEN COMPASS,,,,R/V Quiet Heron,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,Departs 0600,ETA 1200,,Dock maintenance - restricted access,,,,,,,,,,,,
North Pier East - 240',,,,Tug Blue Fathom,,,,,,,,,,,,F/V SALT FATHOM,,Tug Iron Anchor,ETA 1200,,ETA 1200,M/Y Blue Dory,,,,,M/V GREY COMPASS,,R/V Amber Compass,,,,,,
Inner Channel - 55',,,,Tug CORAL HERON,M/V HIGH BEACON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,Science stroll,R/V Swift Gannet,,,,,,R/V Long Ketch,,R/V Long Ketch,,,,,,,,,,,,,,R/V Long Ketch,,,,,,,,,,
South Float East - 90',,M/Y Salt Sound,,,,,,,,,,,,,,OSV Salt Voyager,,Departure 0800,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,M/V Amber Skua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Tug Grey Ketch,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Campus event,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,M/V Far Voyager,Community sail day,,,,,,,,,,,,,,,,,
OCTOBER 2011,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,
,,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,,,
North Pier West - 410',,,R/V GOLDEN COMPASS,,,,,,,R/V GOLDEN COMPASS,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,R/V Long Ketch,,,,,R/V Long Ketch,,,,,,R/V Long Ketch,,,,R/V Long Ketch,,,,,,
South Float East - 90',,,,OSV AMBER REEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,M/V Amber Skua,,,,,,,,,,,,,,,,,,,,,,,Public open house,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Dive training,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVEMBER 2011,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,
,,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,,,,
North Pier West - 410',,Dock maintenance - restricted access,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,Paving near dock entrance,,,,Safety training (RIBs),,,,,,,,,,,,,,,,,,,,Road race - access limited,,,,,,
North Pier East - 240',,,,M/V GREY COMPASS,M/V Coral Petrel,M/V GREY COMPASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,R/V Long Ketch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Holiday,,,,,,,,,,,,,,,,,,,,,,,,
DECEMBER 2011,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,
,,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,,,
North Pier West - 410',R/V GOLDEN COMPASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,Science stroll,,,,,,Film crew on dock,,,
North Pier East - 240',,,,,,,,,,,R/V Wild Sound,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',M/V Salt Tern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
