,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harborview Marine Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 Pier & Dock Schedule (synthetic sample data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contact: Dock Coordinator, Marine Operations - dockops@example.org or ext 0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
,,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,
North Pier West - 410',,Tug Salt Tide,,,,F/V Swift Fathom,Tug Western Lantern,,R/V Blue Anchor,,Tug Salt Tide,,,,,,,,,,,,,,,,,,,,,Tug Salt Tide,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,R/V Blue Anchor,,,Tug Coral Reef,,,,,,,,,,,,,,,,,,,,,,F/V Grey Gannet,,,
Inner Channel - 55',R/V Golden Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,R/V Blue Star,,,,,,,,,,,,,,,,,,,,,R/V Long Ketch,,,,,,,,,
South Float East - 90',,,,,,OSV AMBER REEF,,,,,,,R/V Long Ketch,,R/V Long Ketch,,,,,,R/V Long Ketch,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,
,,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,,
North Pier West - 410',,,Tug Salt Tide,,,Utility work on pier face,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,F/V Grey Gannet,,Tug Golden Sound,,,,,,,,Tug Golden Sound,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,S/V High Meridian,,,,,R/V Long Ketch,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,OSV AMBER REEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Finger Piers:,,,,R/V Grey Lantern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
,,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,
North Pier West - 410',,,,,,,,,,,,,,,,,,,,,R/V GOLDEN COMPASS,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Finger Piers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small craft slips (institution boats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F/V Western Sound,,,,,R/V Long Ketch,M/V GREY COMPASS,,Barge SILVER VOYAGER,OSV AMBER REEF,,OSV Silver Tide,,M/V NORTHERN HARBOR,Tug Salt Tide,R/V GOLDEN COMPASS,Tug Coral Reef,,,,F/V SALT FATHOM,,,,,,,,,,,,
